"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3124444","Erik  Pescara and Michael  Beigl and Jonathan  Gr&#228;ser","","","","Introducing a Spatiotemporal Tactile Variometer to Leverage Thermal Updrafts","1038--1042","","5","haptic interaction, tactile cuff, tactile display, vibrotactile patterns, wearable variometer","10.1145/3123024.3124444","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","2800901","Tatsuya  Isoda and Yasunobu  Nohara and Sozo  Inoue and Mako  Shirouzu and Yasuhiko  Sugiyama and Mari  Hirata and Kyoko  Machida and Naoki  Nakashima","","","","Experiment for Nursing Activity Analysis Using Mobile Sensors and Proximity Sensors","153--156","","4","big data, mobile sensors, nursing activity analysis, proximity sensors","10.1145/2800835.2800901","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","3349331","Rohan  Banerjee and Avik  Ghose and Aniruddha  Sinha and Arpan  Pal and K M Mandana","","","","A Multi-modal Approach for Non-invasive Detection of Coronary Artery Disease","543--550","","8","cardiovascular signals, classification, coronary artery disease, feature extraction","10.1145/3341162.3349331","","","","","","","2019","","Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers","UbiComp/ISWC '19 Adjunct","","978-1-4503-6869-8","London, United Kingdom","ACM","New York, NY, USA"
"article","3267561","Kai  Niu and Fusang  Zhang and Zhaoxin  Chang and Daqing  Zhang","","","","A Fresnel Diffraction Model Based Human Respiration Detection System Using COTS Wi-Fi Devices","416--419","","4","Channel State Information(CSI), Fresnel diffraction model, Respiration sensing, Wi-Fi","10.1145/3267305.3267561","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","3267591","Kazu  Tamura and Kohei  Matsumura and Roberto  Lopez-Gulliver and Haruo  Noma","","","","YUGE: Collecting and Evaluating Gestures in a Playful Way","460--463","","4","Corpus, Feeling, Gesture, Onomatopoeia, Playful","10.1145/3267305.3267591","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","3344831","Pekka  Siirtola","","","","Continuous Stress Detection Using the Sensors of Commercial Smartwatch","1198--1201","","4","biosignals, machine learning, stress detection, wearable sensors","10.1145/3341162.3344831","","","","","","","2019","","Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers","UbiComp/ISWC '19 Adjunct","","978-1-4503-6869-8","London, United Kingdom","ACM","New York, NY, USA"
"article","3344844","Heiko  M&#252;ller and Ashley  Colley and Jonna  H&#228;kkil&#228; and Walther  Jensen and Markus  L&#246;chtefeld","","","","Using Electrochromic Displays to Display Ambient Information and Notifications","1075--1078","","4","ambient displays, electrochromic displays, electrochromism, notification, visualisation","10.1145/3341162.3344844","","","","","","","2019","","Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers","UbiComp/ISWC '19 Adjunct","","978-1-4503-6869-8","London, United Kingdom","ACM","New York, NY, USA"
"article","3267631","Tobias  R&#246;ddiger and Dominik  Doerner and Michael  Beigl","","","","ARMart: AR-Based Shopping Assistant to Choose and Find Store Items","440--443","","4","assistant, augmented reality, shopping, smartphone","10.1145/3267305.3267631","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","3123191","Frederik  Wiehr and Felix  Kosmalla and Florian  Daiber and Antonio  Kr&#252;ger","","","","FootStriker: An EMS-based Foot Strike Assistant for Running","317--320","","4","electrical muscle stimulation, in-situ feedback, mobile interface, motor learning, real-time assistance, real-time feedback, running, sports training, wearables","10.1145/3123024.3123191","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","3123157","Andreas  Bogner","","","","Seeing is Understanding: Anomaly Detection in Blockchains with Visualized Features","5--8","","4","anomaly detection, block-chain, ethereum, machine learning, visualization","10.1145/3123024.3123157","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
